BR;UF;CODIGO;LOCAL_INI;LOCAL_FIM;KM_INI;KM_FIM;EXTENSAO;SUPERFICIE;TR_COINCID;EST_COND;SUPERFICIE_ESTADUAL;ANO
101;RN;101BRN0070;ENTR RN-160(B) (P/EXTREMOZ);ENTR BR-406(A) (P/CEARÁ MIRIM);75.1;80.5;5.4;DUP;;;;2008
101;RN;101BRN0075;ENTR BR-406(A) (P/CEARÁ MIRIM);ENTR RN-160 (P/SÃO GONÇALO DO AMARANTE);80.5;82.8;2.3;DUP;406BRN0150;;;2008
101;RN;101BRN0080;ENTR RN-160 (P/SÃO GONÇALO DO AMARANTE);ACESSO REDINHA (P/ PONTE NEWTON NAVARRO);82.8;84.5;1.7;DUP;406BRN0160;;;2008
101;RN;101BRN0085;ACESSO REDINHA (P/ PONTE NEWTON NAVARRO);ENTR BR-406(B) (PONTE PRESIDENTE COSTA E SILVA);84.5;85.2;0.7;DUP;406BRN0170;;;2008
101;RN;101BRN0090;ENTR BR-406(B) (PONTE PRESIDENTE COSTA E SILVA);ENTR BR-226 (VIADUTO DA URBANA);85.2;87.9;2.7;DUP;;;;2008
101;RN;101BRN0100;ENTR BR-226 (VIADUTO DA URBANA);ENTR BR-304(A) (COMPLEXO VIÁRIO DO 4º CENTENÁRIO/NATAL) *TRECHO URBANO*;87.9;93.7;5.8;DUP;;;;2008
101;RN;101BRN0110;ENTR BR-304(A) (COMPLEXO VIÁRIO DO 4º CENTENÁRIO/NATAL);ENTR RN-063 (P/PONTA NEGRA) *TRECHO URBANO*;93.7;96;2.3;DUP;304BRN0410;;;2008
101;RN;101BRN0130;ENTR RN-063 (P/PONTA NEGRA);ENTR BR-304(B) (COMPLEXO VIÁRIO TRAMPOLIM DA VITÓRIA);96;103.9;7.9;DUP;304BRN0390;;;2008
101;RN;101BRN0132;ENTR BR-304(B) (COMPLEXO VIÁRIO TRAMPOLIM DA VITÓRIA);ACESSO PARNAMIRIM;103.9;106.6;2.7;DUP;;;;2008
101;RN;101BRN0150;ACESSO PARNAMIRIM;FIM PISTA DUPLA;106.6;108.1;1.5;DUP;;;;2008
101;PB;101BPB0310;ENTR BR-230(A);ACESSO AEROPORTO;80.9;82.7;1.8;DUP;230BPB0060;;;2008
101;PB;101BPB0320;ACESSO AEROPORTO;ENTR BR-230(B);82.7;88.3;5.6;DUP;230BPB0050;;;2008
101;PB;101BPB0330;ENTR BR-230(B);DISTRITO INDUSTRIAL (TOALIA);88.3;92.8;4.5;DUP;;;;2008
101;PE;101BPE0390;ENTR PE-035 (IGARASSÚ - PONTE SOBRE O RIO IGARASSÚ);ENTR PE-015 (P/PAULISTA - VIADUTO SOBRE PE-015);41.4;51.6;10.2;DUP;;;;2008
101;PE;101BPE0410;ENTR PE-015 (P/PAULISTA - VIADUTO SOBRE PE-015);VIADUTO SOBRE AVENIDA CAXANGÁ;51.6;66.6;15;DUP;;;;2008
101;PE;101BPE0420;VIADUTO SOBRE AVENIDA CAXANGÁ;ENTR BR-232 (RECIFE);66.6;69.9;3.3;DUP;;;;2008
101;PE;101BPE0430;ENTR BR-232 (RECIFE);ENTR PE-007 (RECIFE);69.9;72.9;3;DUP;;;;2008
101;PE;101BPE0435;ENTR PE-007 (RECIFE);PRAZERES (ENTR ANTIGA BR-101);72.9;82.3;9.4;DUP;;;;2008
101;PE;101BPE0440;PRAZERES (ENTR ANTIGA BR-101);VIADUTO RANDOM/METALGIL;82.3;94.1;11.8;DUP;;;;2008
101;PE;101BPE0450;VIADUTO RANDOM/METALGIL;ENTR PE-025 (P/USINA BOM JESUS);94.1;96.6;2.5;DUP;;;;2008
101;PE;101BPE0460;ENTR PE-025 (P/USINA BOM JESUS);ENTR PE-037 (P/DISTRITO INDUSTRIAL DO CABO);96.6;101.9;5.3;DUP;;;;2008
101;PE;101BPE0465;ENTR PE-037 (P/DISTRITO INDUSTRIAL DO CABO);VIADUTO DA CHARNECA (ENTR ANTIGA BR-101);101.9;103.2;1.3;DUP;;;;2008
101;PE;101BPE0470;VIADUTO DA CHARNECA (ENTR ANTIGA BR-101);ENTR PE-042 (P/IPOJUCA);103.2;115.6;12.4;DUP;;;;2008
101;SE;101BSE1220;ENTR BR-235(B)/349(A) (INÍCIO DA DUPLICAÇÃO);FIM PISTA DUPLA;91.5;93.3;1.8;DUP;349BSE0020;;;2008
101;ES;101BES2300;ACESSO À SERRA;ENTR ES-010 (P/LARANJEIRAS);256.1;268;11.9;DUP;;;;2008
101;ES;101BES2310;ENTR ES-010 (P/LARANJEIRAS);CARAPINA;268;270.5;2.5;DUP;;;;2008
101;ES;101BES2370;ENTR BR-262(A) (P/CAMPO GRANDE);ENTR BR-262(B);296;304.7;8.7;DUP;262BES0050;;;2008
101;ES;101BES9000;ENTR BR-101/ES-010 (CARAPINA/AEROP.VITORIA);ACS NORTE A VITÓRIA;0;2.9;2.9;DUP;;;;2008
101;RJ;101BRJ2990;ENTR RJ-124 (RIO BONITO);ENTR RJ-120 (BASÍLIO);261.2;269.9;8.7;DUP;;;;2008
101;RJ;101BRJ3010;ENTR RJ-120 (BASÍLIO);ACESSO LESTE ITABORAÍ (DUQUES);269.9;282.1;12.2;DUP;;;;2008
101;RJ;101BRJ3030;ACESSO LESTE ITABORAÍ (DUQUES);ENTR RJ-114;282.1;286;3.9;DUP;;;;2008
101;RJ;101BRJ3050;ENTR RJ-114;ACESSO OESTE ITABORAÍ;286;292.6;6.6;DUP;;;;2008
101;RJ;101BRJ3060;ACESSO OESTE ITABORAÍ;ENTR BR-493 (MANILHA);292.6;296.5;3.9;DUP;;;;2008
101;RJ;101BRJ3070;ENTR BR-493 (MANILHA);ENTR RJ-104;296.5;297.2;0.7;DUP;;;;2008
101;RJ;101BRJ3090;ENTR RJ-104;ACESSO PTE PRES COSTA E SILVA (NITERÓI);297.2;321.6;24.4;DUP;;;;2008
101;RJ;101BRJ3110;ACESSO PTE PRES COSTA E SILVA (NITERÓI);ENTR BR-040(A) (ACESSO PTE PRES COSTA E SILVA (RIO));321.6;334;12.4;DUP;;;;2008
101;RJ;101BRJ3130;ENTR BR-040(A) (ACESSO PTE PRES COSTA E SILVA (RIO));ENTR RJ-071 (LINHA VERMELHA);334;334.8;0.8;DUP;040BRJ1050;;;2008
101;RJ;101BRJ3150;ENTR RJ-071 (LINHA VERMELHA);ENTR RJ-077 (CAJÚ);334.8;335.6;0.8;DUP;040BRJ1030;;;2008
